Gene stable ID	Gene name	Gene description
ENSG00000241226	RN7SL836P	RNA, 7SL, cytoplasmic 836, pseudogene [Source:HGNC Symbol;Acc:HGNC:46852]
ENSG00000252328	Vault	Vault RNA [Source:RFAM;Acc:RF00006]
ENSG00000239472	RN7SL221P	RNA, 7SL, cytoplasmic 221, pseudogene [Source:HGNC Symbol;Acc:HGNC:46237]
ENSG00000207357	RNU6-2	RNA, U6 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:34270]
ENSG00000207342	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000242811	RN7SL229P	RNA, 7SL, cytoplasmic 229, pseudogene [Source:HGNC Symbol;Acc:HGNC:46245]
ENSG00000223247	RNU2-64P	RNA, U2 small nuclear 64, pseudogene [Source:HGNC Symbol;Acc:HGNC:48557]
ENSG00000200591	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000199713	U8	U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]
ENSG00000202444	RNU5E-6P	RNA, U5E small nuclear 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:42522]
ENSG00000206755	SNORA30	small nucleolar RNA, H/ACA box 30 [Source:HGNC Symbol;Acc:HGNC:32620]
ENSG00000206763	RNU6-10P	RNA, U6 small nuclear 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:34254]
ENSG00000201875	RN7SKP178	RNA, 7SK small nuclear pseudogene 178 [Source:HGNC Symbol;Acc:HGNC:45902]
ENSG00000266863	RN7SL123P	RNA, 7SL, cytoplasmic 123, pseudogene [Source:HGNC Symbol;Acc:HGNC:46139]
ENSG00000223321	RN7SKP293	RNA, 7SK small nuclear pseudogene 293 [Source:HGNC Symbol;Acc:HGNC:46017]
ENSG00000199405	SNORA1	Small nucleolar RNA SNORA1 [Source:RFAM;Acc:RF00408]
ENSG00000253049	SNORA43	Small nucleolar RNA SNORA43 [Source:RFAM;Acc:RF00416]
ENSG00000251866	SCARNA21	Small Cajal body specific RNA 21 [Source:RFAM;Acc:RF00602]
ENSG00000185222	TCEAL9	transcription elongation factor A like 9 [Source:HGNC Symbol;Acc:HGNC:30084]
ENSG00000242381	RN7SL741P	RNA, 7SL, cytoplasmic 741, pseudogene [Source:HGNC Symbol;Acc:HGNC:46757]
ENSG00000200494	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000252452	RNU6-107P	RNA, U6 small nuclear 107, pseudogene [Source:HGNC Symbol;Acc:HGNC:47070]
ENSG00000244104	RN7SL659P	RNA, 7SL, cytoplasmic 659, pseudogene [Source:HGNC Symbol;Acc:HGNC:46675]
ENSG00000201648	RNU4-91P	RNA, U4 small nuclear 91, pseudogene [Source:HGNC Symbol;Acc:HGNC:47027]
ENSG00000243365	RN7SL278P	RNA, 7SL, cytoplasmic 278, pseudogene [Source:HGNC Symbol;Acc:HGNC:46294]
ENSG00000201544	SNORA16B	small nucleolar RNA, H/ACA box 16B [Source:HGNC Symbol;Acc:HGNC:32606]
ENSG00000243424	RN7SL107P	RNA, 7SL, cytoplasmic 107, pseudogene [Source:HGNC Symbol;Acc:HGNC:46123]
